source_state,target_state,weight
Arkansas,New_York,0.0012941778339762148
Arkansas,North_Carolina,0.0004544141714667163
Arkansas,North_Dakota,3.4816800449713205e-05
Arkansas,Ohio,0.0006518926582074258
Arkansas,Oklahoma,6.40874840796816e-05
Arkansas,Oregon,0.00015128588026893692
Arkansas,Pennsylvania,6.241254438567009e-06
Arkansas,Rhode_Island,7.474939664822839e-11
Arkansas,South_Carolina,0.00028113887649178763
Arkansas,South_Dakota,3.120034889534629e-11
Arkansas,Tennessee,7.103188695429004e-10
Arkansas,Texas,0.004570542146046575
Arkansas,Utah,0.00022956943349080445
Arkansas,Vermont,2.1062221787473087e-05
Arkansas,Virginia,0.00035060717850392156
Arkansas,Washington,0.0003649805896462503
Arkansas,West_Virginia,2.0590346639209088e-05
Arkansas,Wisconsin,0.0002709525807932269
Arkansas,Wyoming,1.5177328006150258e-06
California,Alabama,0.00041095799449836814
California,Alaska,0.0006073789615295579
California,Arizona,0.0073491511744758955
California,Arkansas,0.0003073886141454375
California,California,0.9072492527253772
California,Colorado,0.007192026511749662
California,Connecticut,0.000244732545656885
California,Delaware,0.00011425581587901564
California,Florida,0.005692483016005647
California,Georgia,0.00011596466285111604
California,Hawaii,0.005181537001517904
California,Idaho,0.0014568006247469491
California,Illinois,0.00035439916237344643
California,Indiana,0.0013161418163321489
California,Iowa,0.0007054802519969893
California,Kansas,0.001007178697711014
California,Kentucky,0.00014612983948780896
California,Louisiana,0.0010268686736262225
California,Maine,0.00018874848461299576
California,Maryland,0.0032484768415863533
California,Massachusetts,7.581652914729096e-07
California,Michigan,0.00034181449476633046
California,Minnesota,0.002788590127415025
California,Mississippi,7.501920639099343e-05
California,Missouri,0.00012371141845207712
California,Montana,0.0004192073993665677
California,Nebraska,3.713922511967241e-05
California,Nevada,0.008762873393095446
California,New_Hampshire,2.8987696386847516e-12
California,New_Jersey,7.395290894757552e-06
California,New_Mexico,0.0009835213783886926
California,New_York,0.006723751732686678
California,North_Carolina,0.0008399493224149227
California,North_Dakota,5.225458601435006e-05
California,Ohio,0.001980790007416689
California,Oklahoma,0.0004566782726910926
California,Oregon,0.004901795840179453
California,Pennsylvania,2.2063341280936134e-05
California,Rhode_Island,5.7203971858761e-11
California,South_Carolina,0.00039470483237779127
California,South_Dakota,1.187828538458234e-07
California,Tennessee,6.122336163887058e-10
California,Texas,0.010878592286794959
California,Utah,0.002895187682516387
California,Vermont,7.531394745677004e-05
California,Virginia,0.0008179681754849086
California,Washington,0.011273456884427746
California,West_Virginia,2.3256093995449406e-05
California,Wisconsin,0.0009438019019734927
California,Wyoming,3.020110475723679e-05
Colorado,Alabama,0.0009571555264255426
Colorado,Alaska,0.00023199176880543413
Colorado,Arizona,0.006629826824274886
Colorado,Arkansas,0.0007219135375191597
Colorado,California,0.02270292279979037
Colorado,Colorado,0.8832875077910569
Colorado,Connecticut,0.00041754316393685897
Colorado,Delaware,0.00015022191269691118
Colorado,Florida,0.011952169594420494
Colorado,Georgia,0.0002229440242981875
Colorado,Hawaii,0.0009341293654438003
Colorado,Idaho,0.0006972446098555993
Colorado,Illinois,0.00047153793783936043
Colorado,Indiana,0.0017877025709851504
Colorado,Iowa,0.0015060015996260793
Colorado,Kansas,0.001479527984463951
Colorado,Kentucky,0.00020471606803555917
Colorado,Louisiana,0.0016593229257258616
Colorado,Maine,0.000190344504252122
